label,night_avg,total_avg,gaming_ratio,social_ratio,weekend_ratio
Gece Kuşu,60.01,157.56,0.242,0.271,1.112
Gece Kuşu,52.90,210.16,0.247,0.272,1.024
Gece Kuşu,61.70,150.92,0.119,0.325,1.265
Gece Kuşu,70.66,161.11,0.244,0.273,1.143
Gece Kuşu,79.54,151.11,0.218,0.360,1.076
Gece Kuşu,54.38,168.34,0.107,0.208,1.208
Gece Kuşu,65.18,191.19,0.274,0.357,0.992
Gece Kuşu,57.48,180.24,0.154,0.235,0.957
Gece Kuşu,59.96,162.76,0.284,0.280,1.162
Gece Kuşu,59.52,156.35,0.173,0.326,0.948
Gece Kuşu,78.03,234.01,0.240,0.280,1.013
Gece Kuşu,59.42,217.37,0.167,0.166,1.103
Gece Kuşu,62.98,195.88,0.189,0.278,1.037
Gece Kuşu,71.19,182.11,0.260,0.314,1.041
Gece Kuşu,61.57,195.00,0.128,0.351,1.134
Gece Kuşu,69.97,129.96,0.148,0.231,0.896
Gece Kuşu,63.23,210.83,0.148,0.380,0.840
Gece Kuşu,64.29,155.75,0.276,0.308,0.956
Gece Kuşu,62.13,163.32,0.195,0.371,0.998
Gece Kuşu,62.48,160.93,0.219,0.256,1.015
Gece Kuşu,71.04,206.87,0.306,0.229,1.092
Gece Kuşu,63.41,209.97,0.194,0.420,1.060
Gece Kuşu,69.30,152.01,0.256,0.179,1.160
Gece Kuşu,77.90,178.60,0.210,0.280,1.149
Gece Kuşu,65.92,159.12,0.175,0.231,1.148
Gece Kuşu,48.91,150.53,0.106,0.224,1.079
Gece Kuşu,57.59,186.74,0.170,0.216,1.131
Gece Kuşu,61.46,166.19,0.199,0.327,1.173
Gece Kuşu,71.97,173.00,0.240,0.396,1.153
Gece Kuşu,58.50,151.36,0.214,0.178,1.069
Gece Kuşu,62.85,125.36,0.280,0.159,0.979
Gece Kuşu,56.63,150.69,0.206,0.199,1.051
Gece Kuşu,72.80,208.64,0.237,0.290,1.161
Gece Kuşu,61.83,179.77,0.191,0.282,1.030
Gece Kuşu,54.67,151.46,0.170,0.209,0.997
Gece Kuşu,57.20,167.08,0.148,0.264,1.140
Gece Kuşu,65.40,218.61,0.184,0.245,1.100
Gece Kuşu,68.29,154.80,0.299,0.223,1.065
Gece Kuşu,65.79,180.77,0.221,0.344,1.127
Gece Kuşu,56.59,180.00,0.144,0.244,1.088
Gece Kuşu,58.90,194.65,0.102,0.263,0.864
Gece Kuşu,59.46,226.34,0.121,0.402,1.098
Gece Kuşu,66.38,194.55,0.241,0.272,0.930
Gece Kuşu,49.54,162.92,0.226,0.195,0.961
Gece Kuşu,65.51,169.53,0.300,0.306,1.073
Gece Kuşu,57.13,167.79,0.098,0.216,1.006
Gece Kuşu,68.91,167.38,0.234,0.241,1.046
Gece Kuşu,72.91,189.75,0.229,0.156,1.065
Gece Kuşu,54.53,190.36,0.273,0.078,1.174
Gece Kuşu,58.07,186.84,0.252,0.306,1.015
Gece Kuşu,66.17,178.30,0.152,0.243,0.846
Gece Kuşu,74.23,193.38,0.269,0.206,1.010
Gece Kuşu,60.71,149.35,0.221,0.184,1.017
Gece Kuşu,62.06,205.32,0.215,0.198,1.158
Gece Kuşu,62.44,177.29,0.222,0.126,1.019
Gece Kuşu,51.71,138.45,0.201,0.187,1.054
Gece Kuşu,55.30,144.17,0.258,0.253,0.909
Gece Kuşu,80.22,155.69,0.260,0.167,0.982
Gece Kuşu,68.45,214.23,0.160,0.292,1.090
Gece Kuşu,55.46,184.55,0.130,0.296,1.081
Gece Kuşu,59.70,190.88,0.255,0.290,1.028
Gece Kuşu,52.73,130.94,0.235,0.286,1.006
Gece Kuşu,50.59,162.90,0.223,0.231,1.122
Gece Kuşu,63.65,158.43,0.182,0.168,1.382
Gece Kuşu,65.91,166.16,0.229,0.165,1.190
Gece Kuşu,47.04,201.81,0.184,0.172,1.090
Gece Kuşu,61.49,171.83,0.203,0.227,1.163
Gece Kuşu,62.30,166.00,0.214,0.188,0.926
Gece Kuşu,64.97,190.67,0.229,0.108,1.026
Gece Kuşu,66.61,210.61,0.143,0.140,0.993
Gece Kuşu,70.97,178.59,0.292,0.172,1.124
Gece Kuşu,62.74,170.73,0.325,0.380,1.099
Gece Kuşu,61.30,151.82,0.168,0.306,0.903
Gece Kuşu,64.65,219.24,0.236,0.292,0.866
Gece Kuşu,55.55,199.26,0.160,0.167,1.179
Gece Kuşu,64.80,213.30,0.255,0.120,1.228
Gece Kuşu,72.94,195.04,0.169,0.218,0.953
Gece Kuşu,66.27,148.55,0.096,0.216,0.992
Gece Kuşu,66.19,174.06,0.160,0.157,1.024
Gece Kuşu,57.24,151.02,0.212,0.182,1.165
Gece Kuşu,73.42,169.01,0.155,0.168,1.046
Gece Kuşu,59.33,202.36,0.109,0.274,1.119
Gece Kuşu,76.55,195.91,0.130,0.228,1.080
Gece Kuşu,72.65,193.39,0.179,0.275,0.819
Gece Kuşu,66.40,190.48,0.216,0.201,1.190
Gece Kuşu,65.30,188.13,0.191,0.329,1.050
Gece Kuşu,57.85,177.58,0.197,0.226,1.006
Gece Kuşu,69.81,222.54,0.222,0.203,1.297
Gece Kuşu,58.81,142.36,0.193,0.267,1.076
Gece Kuşu,68.54,236.58,0.247,0.211,1.063
Gece Kuşu,68.42,185.72,0.293,0.378,0.960
Gece Kuşu,57.45,135.66,0.202,0.179,0.902
Gece Kuşu,72.48,179.48,0.165,0.166,1.052
Gece Kuşu,69.34,208.51,0.238,0.192,0.945
Gece Kuşu,79.22,182.40,0.253,0.308,1.278
Gece Kuşu,63.94,204.22,0.057,0.266,1.148
Gece Kuşu,59.67,164.13,0.130,0.193,0.948
Gece Kuşu,61.05,188.50,0.243,0.309,1.261
Gece Kuşu,76.08,178.93,0.159,0.234,1.054
Gece Kuşu,74.49,208.71,0.289,0.235,1.024
Gece Kuşu,65.60,176.17,0.061,0.204,1.072
Gece Kuşu,58.24,202.53,0.222,0.271,1.152
Gece Kuşu,67.83,122.86,0.143,0.172,0.918
Gece Kuşu,64.63,143.30,0.191,0.166,1.094
Gece Kuşu,43.48,192.53,0.203,0.282,1.153
Gece Kuşu,56.87,237.14,0.263,0.224,1.008
Gece Kuşu,66.83,200.88,0.329,0.277,1.056
Gece Kuşu,69.83,218.61,0.120,0.274,1.193
Gece Kuşu,59.17,154.86,0.260,0.281,1.001
Gece Kuşu,52.63,186.89,0.160,0.257,1.189
Gece Kuşu,67.66,211.55,0.125,0.236,0.923
Gece Kuşu,68.75,209.87,0.211,0.282,1.122
Gece Kuşu,66.14,177.00,0.200,0.229,0.890
Gece Kuşu,68.96,180.40,0.249,0.245,1.187
Gece Kuşu,63.37,167.16,0.174,0.219,1.134
Gece Kuşu,64.33,201.99,0.206,0.168,0.961
Gece Kuşu,63.79,178.75,0.236,0.150,0.980
Gece Kuşu,79.30,190.88,0.204,0.249,1.192
Gece Kuşu,69.39,185.15,0.164,0.371,1.109
Gece Kuşu,61.62,122.06,0.210,0.175,1.015
Gece Kuşu,61.42,160.65,0.310,0.275,1.136
Gece Kuşu,57.54,167.28,0.225,0.229,1.107
Gece Kuşu,62.34,165.18,0.236,0.095,1.174
Gece Kuşu,71.76,143.61,0.120,0.314,0.979
Gece Kuşu,59.04,186.78,0.164,0.256,1.006
Gece Kuşu,65.96,166.73,0.182,0.250,0.969
Gece Kuşu,67.94,199.77,0.118,0.372,1.075
Gece Kuşu,75.31,163.93,0.145,0.179,0.991
Gece Kuşu,71.99,211.53,0.275,0.181,0.976
Gece Kuşu,70.07,184.63,0.136,0.406,1.228
Gece Kuşu,81.84,176.88,0.172,0.217,0.911
Gece Kuşu,75.41,168.54,0.121,0.375,1.088
Gece Kuşu,60.87,157.35,0.253,0.279,1.047
Gece Kuşu,71.35,158.47,0.095,0.349,0.994
Gece Kuşu,71.15,156.76,0.189,0.299,0.970
Gece Kuşu,60.63,178.62,0.108,0.222,0.974
Gece Kuşu,59.86,187.86,0.165,0.290,1.144
Gece Kuşu,68.66,170.88,0.197,0.253,1.210
Gece Kuşu,66.88,193.34,0.236,0.342,1.018
Gece Kuşu,61.70,165.82,0.278,0.255,1.033
Gece Kuşu,69.99,182.99,0.153,0.218,1.011
Gece Kuşu,66.55,168.75,0.237,0.223,1.128
Gece Kuşu,59.07,189.33,0.244,0.352,1.127
Gece Kuşu,61.78,163.03,0.329,0.330,0.965
Gece Kuşu,65.11,160.23,0.068,0.252,0.996
Gece Kuşu,66.83,214.32,0.164,0.155,1.128
Gece Kuşu,59.63,230.05,0.210,0.097,1.092
Gece Kuşu,62.40,160.06,0.304,0.236,1.056
Gece Kuşu,72.53,196.16,0.177,0.372,0.908
Gece Kuşu,72.68,212.42,0.252,0.327,1.027
Gece Kuşu,66.22,192.49,0.217,0.256,0.989
Gece Kuşu,58.11,235.78,0.098,0.228,0.953
Gece Kuşu,52.51,170.22,0.058,0.224,1.307
Gece Kuşu,65.05,172.77,0.153,0.225,1.179
Gece Kuşu,56.14,203.35,0.216,0.136,1.042
Gece Kuşu,50.33,189.60,0.278,0.235,0.867
Gece Kuşu,51.86,187.23,0.230,0.178,1.068
Gece Kuşu,71.33,147.04,0.215,0.058,1.020
Gece Kuşu,63.28,191.21,0.259,0.187,1.077
Gece Kuşu,71.94,181.57,0.216,0.289,1.005
Gece Kuşu,64.59,202.64,0.139,0.277,1.071
Gece Kuşu,70.07,190.63,0.161,0.190,0.877
Gece Kuşu,62.08,179.80,0.267,0.274,0.906
Gece Kuşu,68.41,166.38,0.196,0.123,0.927
Gece Kuşu,67.70,169.13,0.303,0.186,1.159
Gece Kuşu,54.50,216.63,0.234,0.275,1.015
Gece Kuşu,77.90,157.96,0.185,0.387,1.034
Gece Kuşu,60.23,207.24,0.265,0.281,1.063
Gece Kuşu,48.58,163.52,0.230,0.342,1.079
Gece Kuşu,64.85,146.66,0.187,0.225,0.988
Gece Kuşu,64.18,179.68,0.130,0.126,1.079
Gece Kuşu,65.14,173.80,0.148,0.269,1.037
Gece Kuşu,68.34,194.29,0.104,0.329,1.063
Gece Kuşu,47.57,190.64,0.214,0.335,1.016
Gece Kuşu,68.33,130.01,0.284,0.309,0.925
Gece Kuşu,65.44,178.51,0.253,0.285,0.946
Gece Kuşu,76.76,180.29,0.237,0.243,1.000
Gece Kuşu,69.86,242.04,0.217,0.271,0.969
Gece Kuşu,77.68,192.30,0.139,0.245,1.099
Gece Kuşu,86.45,119.87,0.266,0.276,1.101
Gece Kuşu,61.09,227.04,0.114,0.316,0.841
Gece Kuşu,70.76,209.69,0.205,0.171,1.150
Gece Kuşu,72.72,199.81,0.268,0.128,0.985
Gece Kuşu,65.31,173.08,0.108,0.206,1.093
Gece Kuşu,57.98,194.66,0.198,0.171,1.010
Gece Kuşu,65.12,181.75,0.164,0.218,0.855
Gece Kuşu,57.19,192.87,0.275,0.257,0.941
Gece Kuşu,64.22,201.15,0.228,0.255,1.035
Gece Kuşu,66.74,192.51,0.194,0.330,1.067
Gece Kuşu,59.59,189.85,0.210,0.308,1.099
Gece Kuşu,62.02,200.23,0.168,0.243,0.948
Gece Kuşu,73.99,226.75,0.212,0.275,1.160
Gece Kuşu,61.35,192.84,0.155,0.300,1.035
Gece Kuşu,61.92,179.18,0.089,0.124,1.151
Gece Kuşu,63.23,159.96,0.211,0.211,0.866
Gece Kuşu,59.52,210.17,0.179,0.258,1.166
Gece Kuşu,70.72,182.25,0.201,0.267,1.215
Gece Kuşu,66.55,198.61,0.075,0.290,1.038
Gece Kuşu,62.15,225.90,0.282,0.167,1.039
Gece Kuşu,64.65,156.46,0.129,0.327,1.040
Gece Kuşu,56.85,185.38,0.247,0.256,1.092
Gece Kuşu,77.79,181.15,0.287,0.116,1.046
Gece Kuşu,67.87,161.44,0.163,0.191,0.965
Gece Kuşu,80.27,178.48,0.164,0.121,0.893
Gece Kuşu,56.78,189.76,0.223,0.160,1.134
Gece Kuşu,70.38,189.31,0.235,0.236,0.975
Gece Kuşu,58.27,211.12,0.190,0.158,1.070
Gece Kuşu,72.84,148.32,0.104,0.344,1.056
Gece Kuşu,51.67,121.32,0.248,0.291,1.198
Gece Kuşu,64.59,201.49,0.266,0.122,1.168
Gece Kuşu,71.79,167.62,0.098,0.236,0.929
Gece Kuşu,70.96,203.52,0.170,0.207,0.959
Gece Kuşu,73.67,172.38,0.156,0.232,1.079
Gece Kuşu,68.38,212.35,0.142,0.279,1.140
Gece Kuşu,68.43,142.71,0.244,0.252,1.124
Gece Kuşu,61.52,182.89,0.070,0.326,1.160
Gece Kuşu,66.81,223.35,0.159,0.279,1.241
Gece Kuşu,76.70,175.92,0.159,0.363,1.002
Gece Kuşu,78.32,178.44,0.256,0.348,0.855
Gece Kuşu,71.45,163.01,0.214,0.313,1.133
Gece Kuşu,65.59,178.00,0.146,0.179,1.149
Gece Kuşu,55.99,177.98,0.200,0.277,1.028
Gece Kuşu,66.65,186.53,0.207,0.241,1.004
Gece Kuşu,51.73,142.41,0.172,0.146,0.998
Gece Kuşu,60.87,175.30,0.133,0.257,1.120
Gece Kuşu,66.97,165.92,0.193,0.241,0.996
Gece Kuşu,72.98,149.56,0.219,0.302,1.108
Gece Kuşu,62.71,186.61,0.155,0.307,0.982
Gece Kuşu,61.09,188.51,0.159,0.210,1.186
Gece Kuşu,74.25,215.97,0.119,0.285,1.002
Gece Kuşu,83.55,169.14,0.141,0.314,0.886
Gece Kuşu,65.77,102.33,0.225,0.282,1.103
Gece Kuşu,65.89,167.50,0.221,0.239,0.991
Gece Kuşu,72.28,178.67,0.198,0.238,1.013
Gece Kuşu,66.37,125.06,0.182,0.201,0.860
Gece Kuşu,68.54,234.49,0.139,0.196,1.111
Gece Kuşu,56.71,138.46,0.164,0.153,1.101
Gece Kuşu,55.53,170.15,0.182,0.120,1.101
Gece Kuşu,64.49,196.03,0.237,0.308,1.021
Gece Kuşu,81.22,176.34,0.171,0.266,1.207
Gece Kuşu,55.63,199.94,0.091,0.225,1.006
Gece Kuşu,64.16,173.94,0.377,0.366,0.966
Gece Kuşu,83.12,176.74,0.230,0.247,0.934
Gece Kuşu,59.77,155.59,0.063,0.362,1.002
Gece Kuşu,68.05,139.85,0.235,0.222,1.049
Gece Kuşu,67.29,186.79,0.203,0.296,1.130
Gece Kuşu,64.78,198.60,0.234,0.282,0.992
Gece Kuşu,57.14,220.29,0.186,0.392,0.944
Gece Kuşu,65.54,181.50,0.216,0.301,0.863
Gece Kuşu,61.40,240.48,0.158,0.232,1.035
Gece Kuşu,61.17,199.90,0.259,0.260,1.035
Gece Kuşu,67.72,168.99,0.307,0.190,1.180
Gece Kuşu,62.70,166.36,0.055,0.168,1.235
Gece Kuşu,71.14,223.19,0.124,0.260,0.907
Gece Kuşu,56.33,200.51,0.240,0.230,0.879
Gece Kuşu,55.34,196.36,0.186,0.251,0.990
Gece Kuşu,66.03,175.27,0.201,0.199,1.070
Gece Kuşu,67.60,198.82,0.172,0.299,1.101
Gece Kuşu,61.94,184.13,0.193,0.192,0.929
Gece Kuşu,65.66,181.35,0.194,0.107,1.079
Gece Kuşu,58.68,212.46,0.117,0.064,1.252
Gece Kuşu,67.67,154.91,0.281,0.175,0.952
Gece Kuşu,65.61,174.58,0.176,0.270,1.214
Gece Kuşu,76.44,183.27,0.218,0.286,0.988
Gece Kuşu,73.38,182.28,0.119,0.172,1.055
Gece Kuşu,73.39,227.85,0.142,0.232,0.902
Gece Kuşu,50.95,159.31,0.270,0.185,0.990
Gece Kuşu,69.01,195.42,0.201,0.291,1.169
Gece Kuşu,58.83,165.52,0.198,0.243,1.033
Gece Kuşu,70.21,159.34,0.261,0.274,1.153
Gece Kuşu,61.16,181.33,0.255,0.255,0.941
Gece Kuşu,62.99,206.09,0.179,0.139,1.020
Gece Kuşu,56.47,177.43,0.232,0.184,0.911
Gece Kuşu,68.42,149.95,0.170,0.183,1.090
Gece Kuşu,62.31,188.25,0.085,0.236,1.133
Gece Kuşu,66.97,160.18,0.217,0.216,1.058
Gece Kuşu,71.89,187.27,0.190,0.266,1.071
Gece Kuşu,69.52,186.82,0.309,0.308,1.033
Gece Kuşu,71.07,200.28,0.236,0.237,0.995
Gece Kuşu,63.22,173.07,0.175,0.282,1.060
Gece Kuşu,71.93,177.75,0.144,0.204,1.181
Gece Kuşu,53.38,182.30,0.199,0.295,1.028
Gece Kuşu,67.29,135.36,0.160,0.284,1.150
Gece Kuşu,61.49,215.98,0.195,0.352,0.919
Gece Kuşu,60.41,200.51,0.234,0.255,1.209
Gece Kuşu,73.24,207.99,0.283,0.264,1.171
Gece Kuşu,76.71,171.78,0.182,0.193,1.149
Gece Kuşu,61.94,235.00,0.276,0.140,1.050
Gece Kuşu,66.44,188.74,0.243,0.304,1.129
Gece Kuşu,54.37,139.40,0.224,0.264,1.149
Gece Kuşu,59.17,166.12,0.154,0.280,0.973
Gece Kuşu,62.10,192.23,0.172,0.271,1.039
Gece Kuşu,63.76,176.16,0.224,0.384,1.079
Gece Kuşu,80.17,195.71,0.196,0.243,1.159
Gece Kuşu,64.38,237.56,0.163,0.344,1.170
Gece Kuşu,52.71,168.17,0.212,0.303,1.174
Gece Kuşu,65.75,170.21,0.389,0.229,1.182
Gece Kuşu,71.91,207.06,0.120,0.267,1.079
Gece Kuşu,69.25,238.91,0.175,0.271,1.240
Gece Kuşu,54.73,168.82,0.102,0.199,1.152
Gece Kuşu,75.76,211.56,0.284,0.187,1.000
Gece Kuşu,71.87,141.87,0.184,0.227,1.073
Gece Kuşu,64.58,114.46,0.241,0.247,1.092
Gece Kuşu,62.14,187.80,0.133,0.261,1.020
Gece Kuşu,68.40,199.49,0.200,0.259,1.090
Gece Kuşu,64.18,122.87,0.254,0.156,0.852
Gece Kuşu,70.95,150.78,0.254,0.253,1.119
Gece Kuşu,62.00,202.31,0.114,0.271,0.905
Gece Kuşu,71.68,158.08,0.152,0.263,1.002
Gece Kuşu,54.05,176.78,0.257,0.174,1.111
Gece Kuşu,62.73,133.32,0.155,0.285,0.955
Gece Kuşu,54.26,203.16,0.158,0.246,1.183
Gece Kuşu,67.62,229.41,0.283,0.223,0.851
Gece Kuşu,58.41,220.21,0.211,0.187,0.929
Gece Kuşu,79.09,149.34,0.160,0.364,1.091
Gece Kuşu,70.62,247.01,0.407,0.194,1.150
Gece Kuşu,54.63,197.11,0.246,0.229,1.156
Gece Kuşu,63.40,227.17,0.135,0.155,1.066
Gece Kuşu,57.82,138.13,0.120,0.364,1.094
Gece Kuşu,64.77,206.62,0.263,0.374,0.974
Gece Kuşu,61.29,218.01,0.120,0.341,1.025
Gece Kuşu,67.80,131.51,0.228,0.118,1.081
Gece Kuşu,51.95,162.31,0.262,0.361,1.028
Gece Kuşu,71.04,225.26,0.230,0.278,0.890
Gece Kuşu,64.27,201.43,0.119,0.296,1.141
Gece Kuşu,68.62,233.32,0.214,0.197,1.002
Gece Kuşu,66.31,201.69,0.103,0.108,1.164
Gece Kuşu,83.55,190.39,0.230,0.079,1.070
Gece Kuşu,56.22,198.58,0.116,0.174,1.147
Gece Kuşu,48.22,189.44,0.197,0.271,1.085
Gece Kuşu,63.65,234.17,0.257,0.315,1.013
Gece Kuşu,68.60,197.76,0.261,0.187,1.026
Gece Kuşu,63.99,124.34,0.165,0.275,1.041
Gece Kuşu,46.10,201.12,0.237,0.334,1.130
Gece Kuşu,76.97,163.85,0.276,0.263,1.063
Gece Kuşu,63.26,137.34,0.189,0.320,0.949
Gece Kuşu,57.05,146.26,0.132,0.145,0.973
Gece Kuşu,61.68,220.98,0.182,0.238,1.217
Gece Kuşu,84.04,190.70,0.164,0.230,1.061
Gece Kuşu,68.61,148.22,0.308,0.288,1.016
Gece Kuşu,68.42,151.40,0.197,0.296,0.956
Gece Kuşu,64.37,203.98,0.124,0.246,1.060
Gece Kuşu,65.66,168.18,0.221,0.280,0.974
Gece Kuşu,59.14,233.41,0.192,0.197,0.958
Gece Kuşu,61.29,192.71,0.259,0.195,0.935
Gece Kuşu,58.07,149.07,0.130,0.220,1.058
Gece Kuşu,62.38,151.94,0.141,0.246,1.065
Gece Kuşu,74.61,172.01,0.117,0.211,1.156
Gece Kuşu,69.66,182.97,0.219,0.252,0.971
Gece Kuşu,62.76,204.07,0.182,0.299,0.863
Gece Kuşu,76.20,184.09,0.143,0.284,0.869
Gece Kuşu,62.36,216.84,0.154,0.218,1.132
Gece Kuşu,66.52,207.18,0.348,0.230,1.093
Gece Kuşu,57.77,205.14,0.251,0.279,1.088
Gece Kuşu,65.40,197.69,0.133,0.303,0.971
Gece Kuşu,52.43,171.30,0.248,0.257,0.990
Gece Kuşu,72.60,191.35,0.261,0.134,1.055
Gece Kuşu,64.69,160.98,0.269,0.257,1.086
Gece Kuşu,55.18,214.89,0.170,0.300,0.957
Gece Kuşu,58.65,161.53,0.232,0.386,1.153
Gece Kuşu,61.37,209.28,0.150,0.228,1.050
Gece Kuşu,56.76,139.24,0.156,0.354,0.951
Gece Kuşu,69.50,186.84,0.176,0.206,1.129
Gece Kuşu,55.62,156.99,0.215,0.353,1.063
Gece Kuşu,71.01,176.75,0.199,0.228,1.008
Gece Kuşu,74.86,193.39,0.253,0.120,1.091
Gece Kuşu,64.16,172.05,0.102,0.187,1.049
Gece Kuşu,59.98,140.60,0.311,0.294,1.105
Gece Kuşu,60.02,214.02,0.116,0.230,1.011
Gece Kuşu,72.10,197.38,0.068,0.248,1.138
Gece Kuşu,70.95,172.91,0.201,0.228,1.081
Gece Kuşu,74.65,202.19,0.261,0.176,1.012
Gece Kuşu,67.94,195.59,0.170,0.164,1.001
Gece Kuşu,74.47,147.08,0.179,0.295,0.839
Gece Kuşu,60.47,197.20,0.219,0.235,1.176
Gece Kuşu,61.94,215.59,0.090,0.177,1.045
Gece Kuşu,76.64,136.61,0.185,0.190,1.089
Gece Kuşu,69.41,216.76,0.247,0.362,1.135
Gece Kuşu,62.90,191.38,0.184,0.117,0.989
Gece Kuşu,50.34,156.54,0.149,0.274,1.079
Gece Kuşu,58.44,116.85,0.192,0.228,0.966
Gece Kuşu,77.20,218.69,0.093,0.232,1.080
Gece Kuşu,66.76,167.20,0.247,0.267,1.106
Gece Kuşu,63.76,176.52,0.218,0.212,0.967
Gece Kuşu,78.87,196.29,0.208,0.336,1.111
Gece Kuşu,48.03,168.48,0.243,0.385,1.033
Gece Kuşu,76.43,156.50,0.241,0.205,1.255
Gece Kuşu,64.34,206.71,0.138,0.272,1.143
Gece Kuşu,84.16,227.35,0.244,0.240,0.919
Gece Kuşu,57.94,238.30,0.225,0.229,1.005
Gece Kuşu,53.88,173.92,0.241,0.249,1.203
Gece Kuşu,69.18,175.41,0.171,0.402,0.979
Gece Kuşu,64.42,156.75,0.263,0.338,1.104
Gece Kuşu,62.00,196.73,0.137,0.271,1.021
